text,label
"I feel furious because my project ideas were dismissed again tonight.",anger
"I am angry that the deadline was moved without any warning.",anger
"It frustrates me when teammates ignore the work I already finished.",anger
"I feel irritated after being blamed for a mistake I did not make.",anger
"I am mad that my effort was treated as if it meant nothing.",anger
"I feel annoyed because the system crashed right before submission.",anger
"I am upset that the class schedule changed at the last minute.",anger
"It makes me angry when people keep interrupting me during presentations.",anger
"I feel frustrated because no one listened to my concerns today.",anger
"I am irritated that the internet failed during my online exam.",anger
"I feel resentful after being unfairly compared with others.",anger
"I am angry that my group left all the difficult work to me.",anger
"It annoys me when people show up late and waste everyone’s time.",anger
"I feel furious about how unfair the final marks were.",anger
"I am upset because my contribution was not acknowledged at all.",anger
"It makes me mad when instructions are changed after I already finished.",anger
"I feel irritated by the constant noise while I am trying to study.",anger
"I am angry that someone submitted my idea as their own.",anger
"I feel frustrated because my questions were ignored in class.",anger
"I am annoyed that the printer stopped working before my report was due.",anger
"It upsets me when others act like my stress is not important.",anger
"I feel mad because the booking system failed again this morning.",anger
"I am angry that I spent hours fixing a problem caused by someone else.",anger
"It frustrates me when group members disappear before the final deadline.",anger
"I feel irritated because I had to repeat the same task three times.",anger
"I am upset that my request for help was dismissed so casually.",anger
"It makes me furious when people laugh at serious concerns.",anger
"I feel annoyed because the feedback I got was vague and unhelpful.",anger
"I am angry that my seat was taken even though I arrived early.",anger
"It frustrates me to be treated unfairly after working so hard.",anger
"I feel irritated when notifications keep disturbing my concentration.",anger
"I am mad because the lab equipment failed during my assessment.",anger
"It upsets me when people assume I am not trying hard enough.",anger
"I feel angry after hearing that the event was cancelled without notice.",anger
"I am frustrated because the same technical issue keeps returning.",anger
"It annoys me that nobody reads the instructions before asking questions.",anger
"I feel irritated after waiting so long for a simple reply.",anger
"I am upset because my schedule was disrupted by poor planning.",anger
"It makes me angry when my hard work is ignored.",anger
"I feel furious that the mistake was pinned on me unfairly.",anger
"I am annoyed by how disorganized everything feels today.",anger
"It frustrates me when people speak over me during discussions.",anger
"I feel angry because my preparation was wasted by sudden changes.",anger
"I feel scared that I might fail the exam despite all my studying.",fear
"I am worried about presenting in front of the whole class tomorrow.",fear
"The thought of disappointing my parents makes me feel afraid.",fear
"I feel nervous whenever I think about the interview next week.",fear
"I am afraid that I will not finish everything on time.",fear
"I feel anxious about what will happen if I lose my scholarship.",fear
"I am frightened by how much work is still left to do.",fear
"The uncertainty about my results is making me fearful.",fear
"I feel scared that one bad mark could ruin my whole semester.",fear
"I am nervous about meeting the supervisor after my poor progress.",fear
"I feel afraid of forgetting everything during the viva.",fear
"I am worried that I might freeze while answering questions.",fear
"The possibility of failing this course makes me anxious.",fear
"I feel frightened because the situation feels out of control.",fear
